"Pos","Region","Poblacion","Superficie","Fecha","Nuevos.Sintomaticos","Nuevos.Asintomaticos","Nuevos.No.Notificados","Nuevos.Confirmados","Tasa.Incidencia","Casos.Confirmados","Nuevos.Fallecidos","Casos.Fallecidos","Letalidad","Activos.Confirmados","Activos.Probables","Probables.Acumulados","Recuperados.Confirmados","Fecha.Primer.Contagiado","Periodo.Infeccioso","Pacientes.UCI","Examenes.PCR","Examenes.PCR.Acumulados","Tasa.Positividad","I.Movilidad","Residencias.Sanitarias","Cupos.Residencias.Sanitarias","Usuarios.Residencias.Sanitarias","Vacunados.Primera.Dosis","Vacunados.Segunda.Dosis","Vacunados.Tercera.Dosis","Vacunados.Cuarta.Dosis","Vacunados.Unica.Dosis"
"4","Atacama","314709","75176","2021-06-04","21","31","2","54","17.158708521205","21838","2","242","1.1081600879201","870","121","1122","20735","2020-03-14","448","20","1476","289188","3.6585365853658","0","4","284","185","174680","127651","0","0","852"
"5","Coquimbo","836096","40579","2021-06-04","208","76","8","292","34.924219228414","38841","1","716","1.8434128884426","1603","357","6520","36503","2020-03-19","443","100","2785","474340","10.48473967684","0","8","597","367","467745","352064","0","0","8485"
"6","Valparaiso","1960170","16396","2021-06-04","427","117","80","624","31.833973583924","100896","10","2631","2.607635585157","3432","1269","39294","94764","2020-03-16","446","216","6783","1222955","9.1994692613888","0","10","1260","628","1198588","938942","0","0","12041"
"7","Metropolitana","8125072","15403","2021-06-04","2793","804","306","3903","48.036497399654","589294","38","15627","2.6518172592967","21045","7189","118910","552019","2020-03-04","458","1936","26780","5600451","14.57430918596","0","23","3486","1596","4443344","3268934","0","0","44717"
"8","OHiggins","991063","16387","2021-06-04","372","104","13","489","49.340960160959","58703","8","1189","2.0254501473519","2540","590","11941","54958","2020-03-19","443","149","3587","584340","13.632562029551","0","10","536","300","610538","456800","0","0","4646"
"9","Maule","1131939","30296","2021-06-04","405","133","13","551","48.67753474348","86602","7","1388","1.6027343479365","3389","654","8235","81779","2020-03-03","459","108","4647","803091","11.857112115343","0","22","1119","672","684164","509562","0","0","11237"
"10","Nuble","511551","13178","2021-06-04","169","50","2","221","43.201948583817","30906","3","519","1.6792855756164","1162","295","8692","29216","2020-03-12","450","48","1678","352110","13.170441001192","0","10","353","238","332440","258182","0","0","643"
"11","Biobio","1663696","23890","2021-06-04","501","147","16","664","39.911137611679","132522","12","2133","1.6095440757006","3683","1250","28787","126650","2020-03-09","453","193","7847","1613860","8.4618325474704","0","23","1562","1217","975280","755633","0","0","3626"
"12","Araucania","1014343","31842","2021-06-04","314","114","16","444","43.772175684162","84371","7","1093","1.2954688222257","2389","624","10057","80847","2020-03-16","446","107","3164","642050","14.032869785082","0","13","860","566","586366","450172","0","0","4466"
"13","Los Rios","405835","18429","2021-06-04","126","83","6","215","52.977195165523","39945","3","457","1.1440731005132","1516","249","4400","37971","2020-03-16","446","30","1886","348514","11.399787910923","0","10","569","295","237314","185297","0","0","2242"
"14","Los Lagos","891440","48583","2021-06-04","223","108","6","337","37.804002512788","78811","3","1068","1.3551407798404","2151","588","13326","75571","2020-03-07","455","103","5133","1213903","6.5653613871031","0","12","625","331","511664","386239","0","0","2433"
"15","Aysen","107297","108494","2021-06-04","43","45","0","88","82.015340596662","6286","0","39","0.62042634425708","574","119","1330","5675","2020-03-14","448","10","742","114168","11.859838274933","0","5","121","62","63433","46803","0","0","1018"
"16","Magallanes","178362","132033","2021-06-04","43","8","2","53","29.714849575582","27991","1","413","1.4754742595834","305","91","3029","27260","2020-03-17","445","29","839","231773","6.3170441001192","0","14","500","145","116088","96228","0","0","1303"
"17","Total","19458310","755839","2021-06-04","5827","1970","476","8273","42.516539206128","1411346","98","29696","2.1040907049016","47051","13946","272135","1333631","2020-03-03","459","3216","72491","14993069","11.412451200839","0","194","13877","7922","11079339","8329441","0","0","107822"
"1","Arica y Parinacota","252110","16873","2021-06-03","56","59","2","117","46.408313831264","23043","5","449","1.9485310072473","620","137","2726","21956","2020-03-19","442","26","1372","305597","8.5276967930029","0","13","784","491","124497","91451","0","0","937"
"2","Tarapaca","382773","42225","2021-06-03","56","30","0","86","22.46762441447","37060","5","679","1.8321640582839","527","224","8398","35839","2020-03-23","438","52","1932","381107","4.4513457556936","0","8","598","431","191137","144342","0","0","74"
"3","Antofagasta","691854","126049","2021-06-03","111","71","8","190","27.462441497773","53849","6","1050","1.9498969340192","1170","184","5308","51579","2020-03-14","447","92","3189","810478","5.9579805581687","0","9","625","386","357424","256951","0","0","7640"
"4","Atacama","314709","75176","2021-06-03","33","45","0","78","24.784801197296","21784","4","240","1.1017260374587","929","112","1110","20624","2020-03-14","447","22","647","287712","12.055641421947","0","4","284","170","173945","126930","0","0","563"
"5","Coquimbo","836096","40579","2021-06-03","198","93","11","302","36.120254133497","38550","13","715","1.8547341115434","1512","329","6472","36304","2020-03-19","442","98","2433","471555","12.412659268393","0","8","597","351","464165","349045","0","0","7588"
"6","Valparaiso","1960170","16396","2021-06-03","433","131","72","636","32.446165383615","100280","34","2621","2.6136816912645","3267","1210","39051","94324","2020-03-16","445","217","6949","1216172","9.1523960282055","0","10","1260","633","1196945","931619","0","0","6950"
"7","Metropolitana","8125072","15403","2021-06-03","2786","634","401","3821","47.027275573681","585397","57","15589","2.6629791406516","19876","6840","117708","549344","2020-03-04","457","1930","27823","5573671","13.733242281566","0","23","3486","1617","4434006","3238671","0","0","26788"
"8","OHiggins","991063","16387","2021-06-03","298","98","12","408","41.167917680309","58219","20","1181","2.028547381439","2378","579","11874","54644","2020-03-19","442","151","2839","580753","14.37125748503","0","10","536","284","607260","452155","0","0","3056"
"9","Maule","1131939","30296","2021-06-03","397","137","1","535","47.264031012272","86051","4","1381","1.6048622328619","3264","625","8134","81362","2020-03-03","458","109","4220","798444","12.677725118483","0","22","1119","657","680063","504648","0","0","9893"
