"Pos","Region","Poblacion","Superficie","Fecha","Nuevos.Sintomaticos","Nuevos.Asintomaticos","Nuevos.No.Notificados","Nuevos.Confirmados","Tasa.Incidencia","Casos.Confirmados","Nuevos.Fallecidos","Casos.Fallecidos","Letalidad","Activos.Confirmados","Activos.Probables","Probables.Acumulados","Recuperados.Confirmados","Fecha.Primer.Contagiado","Periodo.Infeccioso","Pacientes.UCI","Examenes.PCR","Examenes.PCR.Acumulados","Tasa.Positividad","I.Movilidad","Residencias.Sanitarias","Cupos.Residencias.Sanitarias","Usuarios.Residencias.Sanitarias","Vacunados.Primera.Dosis","Vacunados.Segunda.Dosis","Vacunados.Tercera.Dosis","Vacunados.Cuarta.Dosis","Vacunados.Unica.Dosis"
"2","Tarapaca","382773","42225","2022-04-09","7","6","4","17","4.4412745935581","79193","0","1084","1.3688078491786","132","1","10395","77955","2020-03-23","748","3","784","895583","2.1683673469388","0","2","147","55","341877","321693","246327","31917","18960"
"3","Antofagasta","691854","126049","2022-04-09","43","32","18","93","13.442142417331","121805","0","1746","1.4334386929929","414","0","6821","119623","2020-03-14","757","17","1551","1620117","5.9961315280464","0","2","87","20","629101","607878","483620","66739","21121"
"4","Atacama","314709","75176","2022-04-09","30","34","12","76","24.149293474289","65222","0","577","0.88467081659563","267","0","1744","64405","2020-03-14","757","4","1054","718834","7.2106261859583","0","1","30","2","300473","289655","226043","36592","7369"
"5","Coquimbo","836096","40579","2022-04-09","86","24","42","152","18.179730557257","124845","1","1653","1.3240418118467","636","0","9381","122575","2020-03-19","752","12","1842","1090647","8.2519001085776","0","1","95","36","773400","750991","599262","106130","24165"
"6","Valparaiso","1960170","16396","2022-04-09","168","48","91","307","15.661906875424","301293","7","5522","1.8327674390046","1552","1","50199","294630","2020-03-16","755","47","3817","2630492","8.0429656798533","0","1","204","19","1822998","1773879","1448905","329084","51447"
"7","Metropolitana","8125072","15403","2022-04-09","859","207","362","1428","17.575228871818","1340149","14","28069","2.0944686001333","6471","4","161560","1307256","2020-03-04","767","234","18590","12440927","7.6815492200108","0","3","526","107","6816273","6636081","5478939","1130697","225747"
"8","OHiggins","991063","16387","2022-04-09","103","37","15","155","15.639772648157","148209","2","2485","1.6766863011018","743","1","14803","145158","2020-03-19","752","13","1186","1172836","13.069139966273","0","1","24","15","953915","930582","758868","149458","23348"
"9","Maule","1131939","30296","2022-04-09","194","27","11","232","20.495804102518","236665","7","2855","1.2063465235671","1133","0","10643","232691","2020-03-03","768","25","2457","1778119","9.4424094424094","0","4","291","81","1066210","1039776","854635","167013","31169"
"10","Nuble","511551","13178","2022-04-09","63","14","36","113","22.089684117517","98985","2","1079","1.090064151134","510","2","10181","97373","2020-03-12","759","10","889","788151","12.710911136108","0","3","88","19","495227","485500","404774","84689","11284"
"11","Biobio","1663696","23890","2022-04-09","220","69","94","383","23.021032688664","349434","4","4215","1.2062363708168","1849","3","35964","343255","2020-03-09","762","34","4088","3463775","9.3688845401174","0","3","421","168","1507991","1471722","1218073","252909","43896"
"12","Araucania","1014343","31842","2022-04-09","103","14","50","167","16.463858872196","213968","0","2531","1.1828871606969","677","1","11318","210798","2020-03-16","755","15","2137","1468704","7.8146934955545","0","2","174","46","940035","915124","717466","135107","28859"
"13","Los Rios","405835","18429","2022-04-09","28","15","28","71","17.494794682568","105292","1","1204","1.1434866846484","322","0","6034","103735","2020-03-16","755","2","874","780021","8.1235697940503","0","1","120","20","377271","367295","298472","58573","13138"
"14","Los Lagos","891440","48583","2022-04-09","41","37","25","103","11.554339046935","192810","3","2290","1.1876977335201","424","0","16328","189975","2020-03-07","764","20","2305","2331758","4.468546637744","0","2","110","16","819801","795687","637460","106697","38118"
"15","Aysen","107297","108494","2022-04-09","4","8","0","12","11.183910081363","24703","0","178","0.72056025583937","91","0","1794","24412","2020-03-14","757","3","268","258663","4.4776119402985","0","1","25","3","93419","90986","78514","13518","10702"
"16","Magallanes","178362","132033","2022-04-09","21","3","9","33","18.501698792344","50841","1","700","1.3768415255404","166","0","3295","49913","2020-03-17","754","3","505","455457","6.5346534653465","0","2","41","3","156073","153062","138697","31458","14991"
"17","Total","19458310","755839","2022-04-09","1984","585","799","3368","17.308800198989","3508556","42","56997","1.6245144726206","15581","13","353899","3437855","2020-03-03","768","443","43003","32519392","7.8320117201125","0","30","2407","620","17317482","16843241","13754588","2727649","574537"
"1","Arica y Parinacota","252110","16873","2022-04-08","13","21","1","35","13.882828923882","55084","0","807","1.4650352189383","188","0","3439","54051","2020-03-19","751","1","537","624652","6.5176908752328","0","1","24","8","223410","213312","164423","26981","10223"
"2","Tarapaca","382773","42225","2022-04-08","19","8","7","34","8.8825491871161","79175","0","1084","1.369119040101","141","0","10394","77929","2020-03-23","747","3","1327","894799","2.5621703089676","0","4","263","57","341850","321651","246215","31834","18960"
"3","Antofagasta","691854","126049","2022-04-08","43","39","29","111","16.04384740133","121698","0","1746","1.4346990090223","417","0","6821","119515","2020-03-14","756","18","1851","1618566","5.9967585089141","0","2","87","15","629101","607876","483596","66693","21121"
"4","Atacama","314709","75176","2022-04-08","30","20","17","67","21.289508720755","65142","0","577","0.88575726873599","264","1","1744","64329","2020-03-14","756","5","831","717780","8.0625752105896","0","1","30","4","300461","289649","225997","36559","7369"
"5","Coquimbo","836096","40579","2022-04-08","75","27","54","156","18.65814451929","124689","3","1652","1.3248963420991","672","0","9381","122386","2020-03-19","751","13","1621","1088805","9.6236890808143","0","1","95","35","773392","750973","599158","106053","24165"
"6","Valparaiso","1960170","16396","2022-04-08","256","46","123","425","21.681792905717","300974","2","5515","1.8323841926545","1567","0","50198","294305","2020-03-16","754","52","4290","2626675","9.9067599067599","0","1","204","16","1822993","1773863","1448695","328890","51447"
"7","Metropolitana","8125072","15403","2022-04-08","879","206","469","1554","19.125984360508","1338521","12","28055","2.0959701043166","6277","7","161557","1305856","2020-03-04","766","241","19776","12422337","7.8580097087379","0","3","526","97","6816138","6635835","5476124","1127897","225747"
"8","OHiggins","991063","16387","2022-04-08","129","45","22","196","19.776744767991","148052","1","2483","1.6771134466269","775","0","14802","144972","2020-03-19","751","16","1317","1171650","14.882308276386","0","1","24","15","953890","930531","758576","149115","23348"
"9","Maule","1131939","30296","2022-04-08","204","18","44","266","23.499499531335","236434","4","2848","1.2045644873411","1215","0","10642","232389","2020-03-03","767","23","2669","1775662","9.9662795054327","0","4","291","88","1066196","1039722","854367","166592","31169"
"10","Nuble","511551","13178","2022-04-08","79","11","42","132","25.803878792144","98869","0","1077","1.0893202115931","548","2","10180","97226","2020-03-12","758","11","944","787262","13.983050847458","0","3","88","21","495213","485453","404569","84439","11284"
"11","Biobio","1663696","23890","2022-04-08","229","86","92","407","24.463603927641","349049","9","4211","1.2064208750061","1933","4","35962","342794","2020-03-09","761","36","5586","3459687","7.2860723236663","0","3","421","154","1507965","1471639","1217369","252435","43896"
"12","Araucania","1014343","31842","2022-04-08","113","19","50","182","17.942648591256","213800","4","2531","1.1838166510758","723","1","11319","210585","2020-03-16","754","17","2085","1466567","8.7290167865707","0","2","174","43","940021","915094","717247","134925","28859"
"13","Los Rios","405835","18429","2022-04-08","46","14","28","88","21.683689184028","105217","4","1203","1.1433513595712","341","0","6034","103644","2020-03-16","754","2","741","779147","11.875843454791","0","1","120","20","377260","367275","298332","58396","13137"
"14","Los Lagos","891440","48583","2022-04-08","54","27","39","120","13.461365879925","192541","4","2287","1.1877989622989","462","0","16328","189677","2020-03-07","763","20","2793","2329453","4.296455424275","0","2","110","18","819773","795546","637199","106502","38118"
"15","Aysen","107297","108494","2022-04-08","9","7","0","16","14.911880108484","24690","0","178","0.72093965168084","96","0","1794","24394","2020-03-14","756","3","187","258395","8.5561497326203","0","1","25","2","93418","90979","78492","13476","10702"
"16","Magallanes","178362","132033","2022-04-08","19","3","9","31","17.38038371402","50805","0","699","1.3758488337762","171","0","3295","49873","2020-03-17","753","3","484","454952","6.4049586776859","0","2","41","3","156068","153054","138616","31287","14991"
"17","Total","19458310","755839","2022-04-08","2197","597","1026","3820","19.631715190065","3504783","43","56955","1.6250649469596","15790","15","353890","3433967","2020-03-03","767","464","47039","32476389","8.1209209379451","0","32","2523","596","17317149","16842452","13748975","2722074","574536"
"1","Arica y Parinacota","252110","16873","2022-04-07","9","89","10","108","42.838443536552","55050","0","807","1.4659400544959","179","0","3439","54029","2020-03-19","750","1","704","624115","15.340909090909","0","1","24","8","223375","213231","164042","26680","10223"
"2","Tarapaca","382773","42225","2022-04-07","9","11","7","27","7.0537890603569","79141","0","1084","1.3697072313971","134","1","10394","77903","2020-03-23","746","3","1612","893472","1.6749379652606","0","4","263","49","341713","321441","245745","31425","18956"
"3","Antofagasta","691854","126049","2022-04-07","32","33","11","76","10.984976599109","121583","4","1746","1.4360560275696","430","0","6821","119387","2020-03-14","755","18","2151","1616715","3.533240353324","0","2","87","12","629006","607697","482703","65596","21121"
"4","Atacama","314709","75176","2022-04-07","19","16","13","48","15.252185352183","65074","2","577","0.88668285336694","280","1","1744","64246","2020-03-14","755","6","833","716949","5.7623049219688","0","1","30","5","300420","289552","225634","36046","7369"
"5","Coquimbo","836096","40579","2022-04-07","124","42","36","202","24.15990508267","124546","4","1649","1.3240087999615","708","0","9381","122211","2020-03-19","750","14","1987","1087184","10.16607951686","0","1","95","25","773293","750670","598229","104767","24165"
"6","Valparaiso","1960170","16396","2022-04-07","261","58","138","457","23.31430437156","300533","11","5513","1.8344075359445","1510","0","50198","293927","2020-03-16","753","59","4385","2622385","10.42189281642","0","1","204","19","1822798","1773434","1446291","324404","51447"
"7","Metropolitana","8125072","15403","2022-04-07","1009","228","606","1843","22.6828759179","1336903","19","28043","2.097609175834","6363","9","161556","1304182","2020-03-04","765","242","23224","12402561","7.9357561143644","0","3","526","82","6815457","6634535","5469745","1111903","225747"
"8","OHiggins","991063","16387","2022-04-07","147","25","46","218","21.99658346644","147852","5","2482","1.6787057327598","733","0","14803","144816","2020-03-19","750","18","1248","1170333","17.467948717949","0","1","24","9","953795","930304","757395","147128","23348"
"9","Maule","1131939","30296","2022-04-07","236","51","27","314","27.74001072496","236150","11","2844","1.2043192885878","1199","0","10642","232129","2020-03-03","766","23","2656","1772993","11.822289156626","0","4","291","72","1066085","1039415","852886","164381","31169"
"10","Nuble","511551","13178","2022-04-07","92","22","18","132","25.803878792144","98735","2","1077","1.0907986023193","534","2","10180","97108","2020-03-12","757","12","1138","786318","11.599297012302","0","3","88","20","495165","485313","403567","83180","11284"
"11","Biobio","1663696","23890","2022-04-07","286","131","113","530","31.856781527394","348648","10","4202","1.2052270484844","2098","4","35962","342243","2020-03-09","760","38","5453","3454101","9.7194205024757","0","3","421","172","1507787","1471143","1215501","249411","43896"
"12","Araucania","1014343","31842","2022-04-07","135","19","50","204","20.11154017921","213615","6","2527","1.1829693607659","721","1","11319","210409","2020-03-16","753","15","2233","1464482","9.1356918943126","0","2","174","49","939863","914739","715690","133113","28859"
"13","Los Rios","405835","18429","2022-04-07","39","5","36","80","19.712444712753","105123","7","1199","1.1405686671804","339","0","6036","103556","2020-03-16","753","2","887","778406","9.0191657271702","0","1","120","22","377204","367130","297794","57614","13136"
"14","Los Lagos","891440","48583","2022-04-07","58","60","15","133","14.919680516917","192227","7","2283","1.1876583414401","508","0","16328","189326","2020-03-07","762","22","3038","2326660","4.3778801843318","0","2","110","16","819644","795286","636205","105127","38118"
"15","Aysen","107297","108494","2022-04-07","12","8","1","21","19.571842642385","24674","0","178","0.72140714922591","108","0","1794","24366","2020-03-14","755","3","163","258208","12.883435582822","0","1","25","2","93414","90955","78411","13283","10702"
"16","Magallanes","178362","132033","2022-04-07","29","2","8","39","21.865644027315","50773","2","699","1.376715971087","183","0","3295","49829","2020-03-17","752","3","541","454468","7.2088724584104","0","2","41","5","156051","153011","138376","30718","14991"
"17","Total","19458310","755839","2022-04-07","2497","800","1135","4432","22.776900974442","3500670","90","56912","1.6257459286365","16027","18","353892","3429709","2020-03-03","766","479","52253","32429350","8.4818096568618","0","32","2523","567","17315070","16837856","13728214","2684776","574531"
"1","Arica y Parinacota","252110","16873","2022-04-06","12","3","0","15","5.949783824521","54940","0","807","1.4688751365126","104","0","3439","53994","2020-03-19","749","1","684","623411","2.1929824561404","0","0","0","0","223319","213149","163791","26392","10223"
"2","Tarapaca","382773","42225","2022-04-06","24","6","2","32","8.3600462937563","79112","0","1084","1.3702093234907","132","1","10394","77879","2020-03-23","745","3","947","891860","3.3790918690602","0","4","263","44","341626","321301","245418","31034","18956"
"3","Antofagasta","691854","126049","2022-04-06","31","69","27","127","18.356474053774","121501","0","1742","1.433733055695","476","0","6821","119268","2020-03-14","754","20","1813","1614564","7.0049641478213","0","2","87","55","628900","607540","481979","64594","21121"
"4","Atacama","314709","75176","2022-04-06","27","19","15","61","19.382985551732","65019","0","575","0.88435688029653","299","1","1744","64173","2020-03-14","754","6","937","716116","6.5101387406617","0","1","30","4","300391","289471","225311","35530","7369"
"5","Coquimbo","836096","40579","2022-04-06","98","37","22","157","18.777748009798","124343","0","1645","1.322953443298","678","0","9381","122048","2020-03-19","749","14","993","1085197","15.810674723061","0","1","95","25","773196","750471","597541","103521","24165"
"6","Valparaiso","1960170","16396","2022-04-06","266","37","123","426","21.732808889025","300053","0","5502","1.8336760505644","1499","1","50199","293476","2020-03-16","752","56","3586","2618000","11.879531511433","0","1","277","20","1822590","1773107","1444210","319359","51447"
"7","Metropolitana","8125072","15403","2022-04-06","808","133","367","1308","16.09831888259","1334802","13","28024","2.0994874146128","6267","7","161561","1302221","2020-03-04","764","255","15783","12379337","8.2873978331116","0","3","526","68","6814819","6633426","5463937","1096023","225747"
"8","OHiggins","991063","16387","2022-04-06","122","31","15","168","16.951495515421","147602","0","2477","1.6781615425265","685","0","14803","144627","2020-03-19","749","18","468","1169085","35.897435897436","0","1","24","7","953696","930125","756451","144870","23348"
"9","Maule","1131939","30296","2022-04-06","263","21","65","349","30.832050136977","235836","0","2833","1.2012585016707","1221","5","10647","231807","2020-03-03","765","26","1826","1770337","19.112814895947","0","4","291","81","1065971","1039191","851628","161817","31169"
"10","Nuble","511551","13178","2022-04-06","85","23","18","126","24.630975210683","98603","0","1075","1.0902305203696","583","2","10180","96931","2020-03-12","756","12","910","785180","13.846153846154","0","3","88","19","495117","485198","402887","81852","11284"
"11","Biobio","1663696","23890","2022-04-06","290","31","158","479","28.79131764457","348113","0","4192","1.2042066800148","2128","2","35960","341701","2020-03-09","759","39","3923","3448648","12.210043334183","0","3","421","182","1507674","1470854","1214074","246314","43896"
"12","Araucania","1014343","31842","2022-04-06","106","13","67","186","18.336992516338","213408","0","2521","1.1813052931474","844","1","11320","210098","2020-03-16","752","17","1611","1462249","11.545623836127","0","2","174","49","939781","914548","714618","131245","28859"
"13","Los Rios","405835","18429","2022-04-06","40","6","21","67","16.50917244693","105042","0","1192","1.1347841815655","356","0","6036","103472","2020-03-16","752","2","449","777519","14.922048997773","0","1","120","19","377149","367035","297328","56854","13135"
"14","Los Lagos","891440","48583","2022-04-06","62","30","29","121","13.573543928924","192090","0","2276","1.1848612629497","550","0","16329","189161","2020-03-07","761","25","1692","2323622","7.1513002364066","0","2","110","15","819539","795125","635461","103645","38117"
"15","Aysen","107297","108494","2022-04-06","13","13","11","37","34.483722750869","24652","0","178","0.72205094921305","118","0","1794","24334","2020-03-14","754","3","260","258045","14.230769230769","0","1","25","1","93408","90948","78365","13015","10702"
"16","Magallanes","178362","132033","2022-04-06","22","2","6","30","16.819726174858","50730","0","697","1.3739404691504","193","0","3295","49779","2020-03-17","751","2","399","453927","7.5187969924812","0","2","41","4","156041","152986","138193","30230","14991"
"17","Total","19458310","755839","2022-04-06","2269","474","946","3689","18.95848097805","3495889","13","56822","1.6253948566445","16133","20","353903","3425011","2020-03-03","765","499","36281","32377097","10.167856453791","0","31","2572","593","17313217","16834475","13711192","2646295","574529"
"1","Arica y Parinacota","252110","16873","2022-04-05","8","3","1","12","4.7598270596168","54924","0","807","1.4693030369238","114","0","3442","53968","2020-03-19","748","1","353","622727","3.399433427762","0","0","0","0","223274","213085","163484","26062","10223"
"2","Tarapaca","382773","42225","2022-04-05","19","8","1","28","7.3150405070368","79078","0","1084","1.3707984521612","132","1","10394","77845","2020-03-23","744","3","604","890913","4.635761589404","0","4","263","41","341491","321149","245117","30516","18956"
"3","Antofagasta","691854","126049","2022-04-05","21","9","23","53","7.6605757862208","121379","0","1742","1.4351741240247","495","0","6821","119127","2020-03-14","753","19","1742","1612751","3.0424799081516","0","2","87","59","628831","607385","481387","63375","21121"
"4","Atacama","314709","75176","2022-04-05","6","5","8","19","6.0373233685722","64959","0","575","0.88517372496498","332","1","1744","64080","2020-03-14","753","6","174","715179","10.919540229885","0","1","30","5","300366","289382","224999","34950","7369"
"5","Coquimbo","836096","40579","2022-04-05","63","24","5","92","11.003521126761","124186","0","1645","1.3246259642794","746","1","9382","121823","2020-03-19","748","14","908","1084204","10.132158590308","0","1","95","21","773118","750261","596866","102014","24165"
"6","Valparaiso","1960170","16396","2022-04-05","112","16","44","172","8.7747491289021","299622","1","5502","1.8363137553317","1622","2","50200","292923","2020-03-16","751","59","1680","2614414","10.238095238095","0","1","277","17","1822369","1772702","1442088","313709","51447"
"7","Metropolitana","8125072","15403","2022-04-05","451","66","175","692","8.5168476045505","1333260","10","28011","2.1009405517303","6772","9","161560","1300230","2020-03-04","763","265","12549","12363554","5.5143836162244","0","3","526","101","6814131","6632181","5456694","1077849","225747"
"8","OHiggins","991063","16387","2022-04-05","74","15","8","97","9.7874706249754","147434","0","2477","1.6800737957323","766","0","14803","144378","2020-03-19","748","22","521","1168617","18.618042226487","0","1","24","5","953597","929922","755313","142178","23348"
"9","Maule","1131939","30296","2022-04-05","150","11","8","169","14.930133160886","235492","0","2833","1.2030132658434","1254","7","10649","231430","2020-03-03","764","29","706","1768511","23.937677053824","0","4","291","85","1065862","1038943","850430","159084","31169"
"10","Nuble","511551","13178","2022-04-05","64","3","6","73","14.270326907777","98472","0","1075","1.0916808839061","617","1","10179","96766","2020-03-12","755","12","394","784270","18.527918781726","0","3","88","17","495075","485073","402370","80526","11284"
"11","Biobio","1663696","23890","2022-04-05","186","30","47","263","15.808176493783","347645","0","4192","1.2058277840901","2330","2","35959","341031","2020-03-09","758","43","2206","3444725","11.922030825023","0","3","421","202","1507513","1470519","1212706","242606","43896"
"12","Araucania","1014343","31842","2022-04-05","67","9","34","110","10.84445793977","213209","0","2521","1.182407872088","921","1","11319","209822","2020-03-16","751","16","792","1460638","13.888888888889","0","2","174","50","939676","914347","713505","129018","28859"
"13","Los Rios","405835","18429","2022-04-05","36","4","20","60","14.784333534564","104977","0","1192","1.1354868209227","429","0","6036","103334","2020-03-16","751","2","381","777070","15.748031496063","0","1","120","22","377090","366929","296859","56016","13135"
"14","Los Lagos","891440","48583","2022-04-05","28","14","15","57","6.3941487929642","191966","0","2276","1.1856266213809","589","0","16329","188998","2020-03-07","760","22","952","2321930","5.9873949579832","0","2","110","20","819440","794959","634633","101916","38117"
